,,,,,,,,,,
,Slideshow,Slide 1 (Hook),Slide 2 (Trust me...),Slide 3,Slide 4,Slide 5 (+ Kokoro),Slide 6,Slide 7,Description,Song
,Treat each uploaded image independently.,High-end editorial/lifestyle photography,Ultra-realistic photograph,,,,,,,
,Generate one new variation for each reference photo.,Looks like another frame from the same photoshoot,Looks like another frame from the same photoshoot,,,,,,,
,"Do not blend poses, clothing, backgrounds, or compositions from different uploaded images.",Natural skin texture,High-end editorial/lifestyle photography,,,,,,,
,"The generated image should look like the next photo taken after the reference photo, with the same person but a different pose, outfit, camera angle, and/or location.",No beauty filters,Natural skin texture,,,,,,,
,The person must remain instantly recognizable in every generated image.,No AI artifacts,No beauty filters,,,,,,,
,,Shallow depth of field,No AI-looking artifacts,,,,,,,
,,Professional camera quality,Shallow depth of field,,,,,,,
,,Vertical 9:16,Professional camera quality,,,,,,,
,,Very Important,Vertical 9:16,,,,,,,
,,Treat each uploaded reference photo independently.,Very Important,,,,,,,
,,Generate 6 variations for each reference image only.,Treat each uploaded reference photo independently.,,,,,,,
,,"Do not combine features, poses, or compositions from different reference photos.",Generate 6 variations for each reference image only.,,,,,,,
,,The person must remain instantly recognizable as the exact same individual in every generated image.,"Do not combine features, poses, clothing, expressions, or compositions from different reference photos.",,,,,,,
,,,The person must remain instantly recognizable as the exact same individual in every generated image.,,,,,,,
,,,"The only noticeable differences should be the pose, outfit, camera angle, framing, and natural body positioning, while the identity, room, lighting, and mood remain unchanged.",,,,,,,
